"","igae","ipc","ifb","cetes","epu","mon","fis","com","reg"
"53"," 69.7946"," 3968.81"," 59.20","18.42"," 3.0561064","0.83784417","0.70735815","0.39145805","1.11944607"
"54"," 70.5341"," 4458.00"," 60.36","20.17"," 2.9666455","0.88533954","0.71680417","0.35258444","1.01191735"
"55"," 70.3265"," 5067.80"," 62.67","18.80"," 1.3674939","0.29239766","0.21929825","0.28704892","0.56874911"
"56"," 71.0907"," 4648.40"," 67.91","18.93"," 2.0650905","0.64072484","0.78364086","0.00000000","0.64072484"
"57"," 71.4129"," 5321.50"," 69.05","18.02"," 1.5647837","0.40743931","0.33982606","0.27221281","0.54530551"
"58"," 72.3218"," 4647.84"," 67.03","17.92"," 1.8627430","0.65990068","0.59809598","0.00000000","0.60474631"
"59"," 72.5673"," 4974.57"," 65.66","20.16"," 4.4965802","1.65904588","1.59092599","0.48427570","0.76233261"
"60"," 72.3684"," 5229.35"," 68.24","18.85"," 4.0284187","1.22949163","1.72493141","0.37788290","0.69611278"
"61"," 72.7444"," 4569.36"," 67.17","17.95"," 3.9686589","1.52640725","1.37376653","0.38262097","0.68586411"
"62"," 73.5777"," 4784.45"," 67.24","18.74"," 3.9330815","1.28403931","1.66650085","0.60396790","0.37857346"
"63"," 74.3029"," 5016.22"," 70.97","19.85"," 4.7879170","1.61717674","2.00844397","0.32190129","0.84039499"
"64"," 74.2563"," 5098.53"," 64.18","19.03"," 3.2980118","0.67090705","1.82201627","0.06920415","0.73588431"
"65"," 74.1384"," 4530.01"," 65.55","17.91"," 4.8098306","1.66882469","1.53584597","0.39987769","1.20528221"
"66"," 73.6003"," 4282.62"," 66.29","19.50"," 6.1582977","2.04714618","2.22570296","0.73909113","1.14635743"
"67"," 74.3432"," 4244.96"," 68.11","20.08"," 5.6581207","2.99553361","1.26502448","0.25214266","1.14541992"
"68"," 74.4842"," 2991.93"," 72.77","22.64"," 8.5369722","3.03345832","2.61011740","1.22441453","1.66898191"
"69"," 74.1248"," 3569.88"," 77.05","40.80","11.1183364","3.57379936","3.76684956","1.35202872","2.42565874"
"70"," 73.9037"," 4074.86"," 72.00","34.86"," 5.9548689","1.61691580","2.97327476","0.43651665","0.92816169"
"71"," 74.2407"," 3769.88"," 67.90","32.12"," 7.7128664","2.56903432","2.77339399","0.55954891","1.81088921"
"72"," 74.5989"," 3959.66"," 72.60","33.66"," 7.1728035","2.20098537","3.54917583","0.14265335","1.27998898"
"73"," 75.3564"," 3957.93"," 72.77","32.13","12.5791139","5.01672022","3.58500459","1.98100245","1.99638660"
"74"," 75.1659"," 4260.80"," 71.92","28.76"," 5.9838892","1.26710525","2.53304847","0.07283321","2.11090224"
"75"," 75.8107"," 4930.37"," 75.23","23.47"," 4.6968387","1.71431179","1.78866123","0.54513319","0.64873251"
"76"," 75.1427"," 5414.45"," 67.63","20.29"," 7.6134918","2.59050029","2.75009840","0.96433916","1.30855390"
"77"," 75.9160"," 5477.65"," 68.60","19.89"," 5.5470845","1.91497903","1.15597349","1.40700346","1.06912855"
"78"," 75.3965"," 5829.51"," 71.48","21.08"," 7.0968039","2.25639688","2.34000542","0.90704929","1.59335234"
"79"," 76.2833"," 5260.35"," 71.07","19.78"," 5.4718582","1.87188797","2.23674578","0.62419891","0.73902554"
"80"," 75.9579"," 5086.87"," 76.77","20.54"," 6.2649353","1.83627362","2.39065678","0.50459351","1.53341140"
"81"," 76.5082"," 5050.46"," 78.58","19.71"," 9.1029861","2.31165559","2.97110983","1.44770236","2.37251830"
"82"," 76.5490"," 5450.37"," 73.17","17.87"," 4.4969053","1.69256074","1.19515432","0.82522306","0.78396713"
"83"," 76.8250"," 6136.47"," 74.17","16.96"," 4.3322205","0.95580905","2.21022368","0.11286682","1.05332091"
"84"," 77.2752"," 7129.88"," 76.67","16.45"," 3.5432366","1.37767908","1.66795877","0.30529104","0.19230769"
"85"," 79.3272"," 6585.67"," 76.86","16.19"," 7.1230420","2.96262785","1.35136757","1.35915944","1.44988715"
"86"," 78.9049"," 7368.55"," 77.78","15.81"," 4.6244526","1.67170117","1.45694096","0.36602479","1.12978573"
"87"," 78.6684"," 7473.25"," 77.92","13.66"," 3.1816782","1.21017126","0.76133563","0.79303372","0.41713755"
"88"," 79.3941"," 6640.68"," 71.60","12.93"," 3.2979381","1.14995839","1.44541390","0.45256583","0.25000000"
"89"," 79.8662"," 5961.14"," 74.94","14.18"," 4.0917263","1.16625499","1.25532473","0.56599345","1.10415315"
"90"," 80.3068"," 6948.33"," 75.50","15.65"," 9.3940476","2.73173269","1.93375763","1.52778344","3.20077380"
"91"," 80.4151"," 6514.21"," 75.63","13.73"," 4.1414628","1.09990399","0.92593566","0.28860029","1.82702288"
"92"," 80.5149"," 6664.82"," 84.15","15.23"," 2.0890854","0.67448246","0.82168950","0.18902369","0.40388974"
"93"," 80.6518"," 6334.56"," 81.17","15.06"," 2.4424079","0.65838607","1.23136131","0.07587253","0.47678801"
"94"," 80.5026"," 6394.24"," 77.68","15.88"," 4.0216480","1.69643182","1.57084982","0.28830670","0.46605971"
"95"," 80.2487"," 5652.63"," 76.81","17.56"," 6.5604714","1.35987347","2.19389976","0.74513942","2.26155876"
"96"," 79.7976"," 5652.19"," 73.98","17.05"," 3.4162947","0.40128894","1.65127288","0.00000000","1.36373290"
"97"," 79.7833"," 6496.89"," 74.35","17.89"," 6.7665080","2.35251591","2.66059410","0.67759205","1.07580592"
"98"," 79.4818"," 6032.10"," 70.88","17.34"," 2.1523286","0.60457681","0.98998111","0.45130612","0.10646454"
"99"," 79.5470"," 5727.89"," 73.59","15.80"," 3.0376981","0.92807256","1.27869284","0.37424770","0.45668504"
"100"," 79.3648"," 5987.25"," 65.23","14.96"," 6.2962086","1.61433396","2.65606934","0.76771308","1.25809218"
"101"," 79.1795"," 6595.39"," 67.82","11.95"," 7.3010515","1.85463691","2.84486354","1.07877190","1.52277911"
"102"," 79.5298"," 6666.17"," 68.34"," 9.43"," 6.1694107","2.02664716","3.22679538","0.52428771","0.39168042"
"103"," 79.6165"," 6474.40"," 71.17"," 9.39"," 6.0132764","1.38476401","2.75054954","0.48218145","1.39578145"
"104"," 79.9505"," 6310.70"," 76.59"," 7.51"," 4.8967861","1.67559491","2.50336734","0.41042019","0.30740366"
"105"," 79.7307"," 5403.53"," 74.82"," 9.32","14.1121520","4.60647160","4.97094175","1.60966526","2.92507337"
"106"," 78.8426"," 5537.04"," 70.67"," 8.36","14.8895040","5.21097547","6.14921696","1.73431259","1.79499896"
"107"," 79.4102"," 5832.83"," 71.74"," 7.43"," 6.8401300","2.65399067","2.78320339","0.57528871","0.82764725"
"108"," 79.3327"," 6372.28"," 71.61"," 6.29"," 7.6653136","2.41624659","3.20981929","0.79382591","1.24542184"
"109"," 77.9388"," 6927.87"," 69.30"," 6.97"," 8.1367925","2.89475741","3.73795817","0.64917798","0.85489896"
"110"," 78.3490"," 6734.44"," 67.88"," 7.91"," 5.3754763","1.76364439","2.15111417","0.56295930","0.89775841"
"111"," 78.8608"," 7361.86"," 65.91"," 7.23"," 2.5411297","0.83435753","1.00780639","0.29093802","0.40802771"
"112"," 79.2723"," 7480.74"," 70.09"," 5.76"," 2.6415235","0.69016051","0.87524279","0.28370668","0.79241355"
"113"," 79.4678"," 7031.64"," 69.16"," 6.61"," 3.6368350","0.87297626","1.75299429","0.14588025","0.86498421"
"114"," 79.2684"," 6460.95"," 66.43"," 7.30"," 4.3527648","1.38034906","1.30804173","0.70453498","0.95983902"
"115"," 79.5603"," 6021.84"," 69.96"," 7.38"," 6.2639280","1.43256558","2.53796212","0.40853308","1.88486726"
"116"," 80.0928"," 6216.43"," 73.62"," 6.68"," 8.0295156","2.24796250","3.67962330","0.89504186","1.20688796"
"117"," 79.9300"," 5728.46"," 73.19"," 7.34","10.0040776","3.12115177","3.21272648","2.13342397","1.53677538"
"118"," 80.3098"," 5967.73"," 71.49"," 7.66"," 6.9140677","2.58003043","2.91888741","0.56829852","0.84685130"
"119"," 79.7065"," 6156.83"," 70.72"," 7.30"," 7.3630467","1.69089287","3.65297050","0.76300366","1.25617972"
"120"," 79.9651"," 6127.09"," 69.60"," 6.88"," 6.1682386","1.61625264","2.50034660","0.89703141","1.15460794"
"121"," 80.0518"," 5954.35"," 70.71"," 8.27","15.8561244","4.90345372","5.21415597","2.77562759","2.96288713"
"122"," 80.5916"," 5927.06"," 70.43"," 9.04","12.5115385","3.71277095","4.73343279","1.72257577","2.34275895"
