"","fecha","epu","mon","fis","com","reg"
"1",1990-01-01,2.71028037383178,1.21495327102804,1.1214953271028,0.186915887850467,0.186915887850467
"2",1990-02-01,3.44514959202176,1.4505893019039,1.54125113327289,0.271985494106981,0.181323662737987
"3",1990-03-01,1.56521739130435,0.695652173913043,0.260869565217391,0.173913043478261,0.434782608695652
"4",1990-04-01,2.0234291799787,0.745473908413206,0.851970181043664,0.212992545260916,0.212992545260916
"5",1990-05-01,3.06382978723404,1.19148936170213,1.02127659574468,0.765957446808511,0.0851063829787234
"6",1990-06-01,1.49812734082397,0.655430711610487,0.561797752808989,0.187265917602996,0.0936329588014981
"7",1990-07-01,1.20724346076459,0.402414486921529,0.301810865191147,0.402414486921529,0.100603621730382
"8",1990-08-01,2.98342541436464,1.87845303867403,0.220994475138122,0.552486187845304,0.331491712707182
"9",1990-09-01,3.40136054421769,1.92743764172336,1.02040816326531,0.226757369614512,0.226757369614512
"10",1990-10-01,1.76744186046512,0.744186046511628,0.558139534883721,0.186046511627907,0.27906976744186
"11",1990-11-01,2.4904214559387,0.957854406130268,0.574712643678161,0.574712643678161,0.383141762452107
"12",1990-12-01,1.58102766798419,0.889328063241107,0.494071146245059,0.197628458498024,0
"13",1991-01-01,7.39979445015416,4.0082219938335,2.36382322713258,0.822199383350462,0.205549845837616
"14",1991-02-01,5.02564102564103,2.05128205128205,1.84615384615385,0.717948717948718,0.41025641025641
"15",1991-03-01,2.08333333333333,0.892857142857143,0.694444444444444,0.496031746031746,0
"16",1991-04-01,0.953288846520496,0.476644423260248,0.190657769304099,0.0953288846520496,0.190657769304099
"17",1991-05-01,2.08,0.8,0.8,0.32,0.16
"18",1991-06-01,1.36170212765957,0.425531914893617,0.25531914893617,0.595744680851064,0.0851063829787234
"19",1991-07-01,1.82829888712242,0.715421303656598,0.476947535771065,0.238473767885533,0.397456279809221
"20",1991-08-01,1.88062142273099,1.22649223221586,0.245298446443173,0.163532297628782,0.245298446443173
"21",1991-09-01,2.58264462809917,1.03305785123967,0.723140495867769,0.413223140495868,0.413223140495868
"22",1991-10-01,2,0.88,0.72,0.24,0.16
"23",1991-11-01,1.19236883942766,0.476947535771065,0.635930047694754,0,0.0794912559618442
"24",1991-12-01,3.02398331595412,1.25130344108446,0.834202294056309,0.208550573514077,0.72992700729927
"25",1992-01-01,1.12589559877175,0.307062436028659,0.614124872057318,0.102354145342886,0.102354145342886
"26",1992-02-01,1.10294117647059,0.459558823529412,0.367647058823529,0.275735294117647,0
"27",1992-03-01,1.57699443413729,0.556586270871985,0.556586270871985,0.278293135435993,0.185528756957328
"28",1992-04-01,0.829187396351575,0.414593698175788,0.0829187396351575,0.33167495854063,0
"29",1992-05-01,0.802568218298555,0.240770465489567,0.240770465489567,0.240770465489567,0.0802568218298555
"30",1992-06-01,4.24187725631769,2.43682310469314,0.451263537906137,0.541516245487365,0.812274368231047
"31",1992-07-01,2.03081232492997,0.840336134453782,0.490196078431373,0.280112044817927,0.420168067226891
"32",1992-08-01,2.76532137518685,1.12107623318386,0.971599402092676,0.448430493273543,0.224215246636771
"33",1992-09-01,3.56911096690461,1.49253731343284,0.973393900064893,0.648929266709929,0.45425048669695
"34",1992-10-01,3.11004784688995,1.29186602870813,0.909090909090909,0.430622009569378,0.478468899521531
"35",1992-11-01,2.1355617455896,0.557103064066852,0.789229340761374,0.278551532033426,0.510677808727948
"36",1992-12-01,1.33882595262616,0.411946446961895,0.514933058702369,0.205973223480947,0.205973223480947
"37",1993-01-01,0.279850746268657,0.0932835820895522,0.0932835820895522,0,0.0932835820895522
"38",1993-02-01,1.12559241706161,0.533175355450237,0.177725118483412,0.177725118483412,0.23696682464455
"39",1993-03-01,0.913978494623656,0.32258064516129,0.32258064516129,0.0537634408602151,0.21505376344086
"40",1993-04-01,0.708061002178649,0.217864923747277,0.217864923747277,0.108932461873638,0.163398692810458
"41",1993-05-01,1.60123966942149,0.671487603305785,0.568181818181818,0.0516528925619835,0.309917355371901
"42",1993-06-01,1.76908752327747,0.605214152700186,0.605214152700186,0.37243947858473,0.186219739292365
"43",1993-07-01,1.63499779054353,0.574458683163942,0.486080424215643,0.265134776844896,0.309323906319046
"44",1993-08-01,1.32013201320132,0.33003300330033,0.565770862800566,0.141442715700141,0.282885431400283
"45",1993-09-01,1.43884892086331,0.431654676258993,0.623501199040767,0.239808153477218,0.143884892086331
"46",1993-10-01,2.52199413489736,0.879765395894428,0.703812316715543,0.351906158357771,0.586510263929619
"47",1993-11-01,4.73237637246749,1.42559850228795,1.79299594637484,0.529100529100529,0.984681394704174
"48",1993-12-01,4.81656804733728,1.20710059171598,2,0.903353057199211,0.706114398422091
"49",1994-01-01,6.17856235712472,1.37323835253731,1.86267039200745,0.490105525665597,2.45254808691436
"50",1994-02-01,3.8761657419431,0.687541809310195,0.793688269783182,0.401467752724983,1.99346791012474
"51",1994-03-01,8.48318690146772,1.98658522589612,1.19521556725877,1.04347049897349,4.25791560933934
"52",1994-04-01,10.8667990023922,2.58360054970224,2.77192446683972,1.45772891535603,4.05354507049422
"53",1994-05-01,6.77525668652554,2.07884395994423,2.74908099885917,1.03942197997211,0.907909747750032
"54",1994-06-01,5.65369472245272,1.41342368061318,1.97879315285845,0.709357953166798,1.55211993581429
"55",1994-07-01,6.46095207126447,1.49366791593187,2.31574415960048,0.884385539809128,1.76715445592299
"56",1994-08-01,7.50324313197991,1.70210576200438,2.48476565678808,1.07418275467562,2.24218895851185
"57",1994-09-01,5.61303069650315,1.67577275256741,2.51330781380865,0.670590153060938,0.753359977066154
